City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,arraial do cabo,-22.9661,-42.0278,21.98,94,100,1.03,BR,1683755119
83,sittwe,20.15,92.9,27.35,78,94,2.09,MM,1683755307
84,kununurra,-15.7667,128.7333,15.99,48,18,2.06,AU,1683755256
85,ribeira grande,38.5167,-28.7,16.54,83,5,4.02,PT,1683755307
86,inarajan village,13.2736,144.7484,29.66,93,40,3.13,GU,1683755308
87,olonkinbyen,70.9221,-8.7187,0.62,99,100,5.48,SJ,1683755308
88,nikolayevsk-on-amure,53.1406,140.73,5.12,67,15,1.13,RU,1683755308
89,ipira,-12.1583,-39.7372,23.54,86,91,4.17,BR,1683755308
90,kiama,-34.6833,150.8667,12.36,89,75,2.39,AU,1683755308
91,dongola,19.1667,30.4833,30.48,10,31,3.71,SD,1683755309
92,polyarnyy,69.1989,33.4478,3.19,99,100,3.46,RU,1683755309
93,leua,48.2156,18.6071,8.93,84,94,3.06,SK,1683755309
94,porto novo,6.4965,2.6036,28.9,79,99,3.83,BJ,1683755309
95,trapani,37.8333,12.6667,16.26,88,20,1.54,IT,1683755309
96,toliara,-23.35,43.6667,23.9,74,91,1.24,MG,1683755310
97,walvis bay,-22.9575,14.5053,13.94,100,0,1.03,NA,1683755269
98,lompoc,34.6391,-120.4579,23.16,65,20,12.52,US,1683755285
99,puerto ayora,-0.7393,-90.3518,29.98,93,53,1.34,EC,1683755084
100,ronneby,56.21,15.276,10.28,66,53,3.09,SE,1683755312
101,pisco,-13.7,-76.2167,22.03,68,0,7.2,PE,1683755077
102,arno,60.1167,18.6333,5.99,69,67,3.66,SE,1683755312
103,bethel,41.3712,-73.414,22.98,30,0,4.12,US,1683755205
104,qaqortoq,60.7167,-46.0333,3.32,91,100,3.61,GL,1683755312
105,tidjikja,18.5564,-11.4271,34.48,13,100,3.52,MR,1683755313
106,anaime,4.3967,-75.4449,20.27,97,100,0.51,CO,1683755313
107,turpan,42.9333,89.1667,22.07,17,27,1.41,CN,1683755313
108,ust-nera,64.5667,143.2,3.38,71,99,2.79,RU,1683755313
109,sur,22.5667,59.5289,30.51,41,0,5.0,OM,1683755314
110,westport,41.1415,-73.3579,23.68,32,0,5.36,US,1683755060
111,williston,48.147,-103.618,25.58,26,7,1.34,US,1683755314
112,kodiak,57.79,-152.4072,5.73,93,100,11.83,US,1683755314
113,albany,42.6001,-73.9662,21.62,31,2,0.89,US,1683755022
114,port said,31.2565,32.2841,19.99,88,0,4.63,EG,1683755315
115,san patricio,28.017,-97.5169,31.2,70,79,5.78,US,1683755233
116,fale old settlement,-9.3852,-171.2468,29.3,75,3,7.61,TK,1683755315
117,sabang,5.8933,95.3214,28.32,73,100,3.45,ID,1683755238
118,isafjordur,66.0755,-23.124,6.17,92,99,1.09,IS,1683755315
119,santiago de cao,-7.9589,-79.2392,23.07,83,75,5.14,PE,1683755316
120,kilindoni,-7.9139,39.6668,26.94,77,4,6.58,TZ,1683755316
121,ocara,-4.4908,-38.5967,23.77,92,25,2.33,BR,1683755316
122,sao jose da coroa grande,-8.8978,-35.1478,25.74,82,14,2.93,BR,1683755316
123,port hueneme,34.1478,-119.1951,24.66,63,0,5.66,US,1683755316
124,nuuk,64.1835,-51.7216,4.34,75,75,5.66,GL,1683755317
125,portland,45.5234,-122.6762,25.64,39,20,3.09,US,1683755257
126,rikaze,29.25,88.8833,2.71,45,47,1.78,CN,1683755317
127,hamilton,39.1834,-84.5333,25.8,32,0,5.14,US,1683755317
128,port lincoln,-34.7333,135.8667,13.28,62,4,6.43,AU,1683755184
129,tsiombe,-25.3,45.4833,21.71,95,41,3.7,MG,1683755317
130,salto del guaira,-24.0625,-54.3069,16.71,67,2,2.81,PY,1683755318
131,chonchi,-42.6128,-73.8092,13.95,98,100,1.93,CL,1683755318
132,vila velha,-20.3297,-40.2925,24.97,82,40,1.03,BR,1683755318
133,zakrzow,49.8256,19.6497,12.63,68,78,1.3,PL,1683755319
134,vorgashor,67.5833,63.95,-7.68,97,100,1.58,RU,1683755319
135,tyuratam,45.6507,63.3156,24.67,27,100,5.73,KZ,1683755319
136,illizi,26.4833,8.4667,24.89,28,0,2.12,DZ,1683755319
137,leava,-14.3,-178.1667,28.54,74,13,5.1,WF,1683755319
138,korla,41.7597,86.1469,16.29,27,2,0.37,CN,1683755320
139,avarua,-21.2078,-159.775,27.03,74,40,8.23,CK,1683755320
140,ndola,-12.9587,28.6366,15.31,76,100,0.89,ZM,1683755320
141,kotdwara,29.75,78.5333,23.35,24,1,2.79,IN,1683755320
142,dongargarh,21.2,80.7333,29.55,13,53,2.67,IN,1683755321
143,merizo village,13.2658,144.6691,29.43,93,37,3.12,GU,1683755321
144,mount gambier,-37.8333,140.7667,7.46,92,0,3.13,AU,1683755321
145,port mathurin,-19.6833,63.4167,25.33,75,7,8.27,MU,1683755321
146,kapa'a,22.0752,-159.319,26.99,68,0,5.66,US,1683755321
147,noosa heads,-26.3833,153.15,17.97,77,25,5.86,AU,1683755321
